race_number,fav_horse_id,fav_odds,fav_finish,won,user_pnl_after,bankroll_after
3441,4,3.02,1,1,-7532.00,16532.00
3442,14,3.19,2,0,-7632.00,16632.00
3443,16,2.91,5,0,-7732.00,16732.00
3444,14,2.85,7,0,-7832.00,16832.00
3445,14,3.59,4,0,-7932.00,16932.00
3446,14,3.75,3,0,-8032.00,17032.00
3447,16,2.35,1,1,-7897.00,16897.00
3448,16,2.38,2,0,-7997.00,16997.00
3449,14,3.91,2,0,-8097.00,17097.00
3450,3,2.91,5,0,-8197.00,17197.00
3451,4,2.31,1,1,-8066.00,17066.00
3452,12,2.49,1,1,-7917.00,16917.00
3453,12,3.03,3,0,-8017.00,17017.00
3454,16,2.42,3,0,-8117.00,17117.00
3455,3,3.46,3,0,-8217.00,17217.00
3456,4,1.99,1,1,-8118.00,17118.00
3457,12,2.95,2,0,-8218.00,17218.00
3458,16,2.27,4,0,-8318.00,17318.00
3459,12,4.33,8,0,-8418.00,17418.00
3460,16,2.84,4,0,-8518.00,17518.00
3461,16,2.12,2,0,-8618.00,17618.00
3462,8,1.87,8,0,-8718.00,17718.00
3463,16,1.49,1,1,-8669.00,17669.00
3464,3,2.92,2,0,-8769.00,17769.00
3465,4,3.45,4,0,-8869.00,17869.00
3466,1,2.87,1,1,-8682.00,17682.00
3467,1,4.59,7,0,-8782.00,17782.00
3468,14,3.37,4,0,-8882.00,17882.00
3469,16,4.76,2,0,-8982.00,17982.00
3470,16,2.15,1,1,-8867.00,17867.00
3471,14,2.91,3,0,-8967.00,17967.00
3472,4,2.75,5,0,-9067.00,18067.00
3473,3,3.25,1,1,-8842.00,17842.00
3474,8,3.02,1,1,-8640.00,17640.00
3475,12,2.40,6,0,-8740.00,17740.00
3476,14,3.33,4,0,-8840.00,17840.00
3477,8,2.47,1,1,-8693.00,17693.00
3478,16,3.83,7,0,-8793.00,17793.00
3479,14,3.81,4,0,-8893.00,17893.00
3480,1,2.24,2,0,-8993.00,17993.00
3481,14,3.17,5,0,-9093.00,18093.00
3482,8,2.62,4,0,-9193.00,18193.00
3483,14,2.82,1,1,-9011.00,18011.00
3484,16,3.37,3,0,-9111.00,18111.00
3485,8,2.24,1,1,-8987.00,17987.00
3486,12,3.67,4,0,-9087.00,18087.00
3487,16,2.87,5,0,-9187.00,18187.00
3488,3,3.40,6,0,-9287.00,18287.00
3489,14,2.85,2,0,-9387.00,18387.00
3490,8,2.75,1,1,-9212.00,18212.00
3491,8,2.02,1,1,-9110.00,18110.00
3492,14,2.82,7,0,-9210.00,18210.00
3493,16,2.16,1,1,-9094.00,18094.00
3494,8,1.83,1,1,-9011.00,18011.00
3495,8,2.16,4,0,-9111.00,18111.00
3496,14,4.03,6,0,-9211.00,18211.00
3497,16,2.62,2,0,-9311.00,18311.00
3498,3,3.45,4,0,-9411.00,18411.00
3499,3,3.55,1,1,-9156.00,18156.00
3500,14,3.66,3,0,-9256.00,18256.00
3501,3,2.95,1,1,-9061.00,18061.00
3502,16,2.58,8,0,-9161.00,18161.00
3503,3,2.89,4,0,-9261.00,18261.00
3504,16,2.72,7,0,-9361.00,18361.00
3505,14,3.77,1,1,-9084.00,18084.00
3506,8,3.50,1,1,-8834.00,17834.00
3507,16,3.19,2,0,-8934.00,17934.00
3508,16,2.39,3,0,-9034.00,18034.00
3509,4,2.30,3,0,-9134.00,18134.00
3510,16,2.38,8,0,-9234.00,18234.00
3511,14,2.66,2,0,-9334.00,18334.00
3512,3,2.68,1,1,-9166.00,18166.00
3513,14,3.91,2,0,-9266.00,18266.00
3514,4,2.74,2,0,-9366.00,18366.00
3515,16,1.74,3,0,-9466.00,18466.00
3516,14,3.43,3,0,-9566.00,18566.00
3517,14,3.53,1,1,-9313.00,18313.00
3518,14,2.72,4,0,-9413.00,18413.00
3519,3,3.12,3,0,-9513.00,18513.00
3520,4,3.67,1,1,-9246.00,18246.00
3521,3,3.04,6,0,-9346.00,18346.00
3522,4,3.86,2,0,-9446.00,18446.00
3523,8,2.68,2,0,-9546.00,18546.00
3524,14,4.10,1,1,-9236.00,18236.00
3525,4,3.95,5,0,-9336.00,18336.00
3526,8,3.21,3,0,-9436.00,18436.00
3527,12,3.15,4,0,-9536.00,18536.00
